Names,Time Spent on Site,Salary,Clicked
Octavius C. Spencer,27.65961996,19862.40794,0
Brendan G. Kelley,30.98472571,13176.24778,0
Shaeleigh M. Mckenzie,41.62829375,63123.67946,1
Rooney R. Padilla,27.57964404,58093.96783,1
Damon K. Boone,42.91951535,58281.11036,1
Taylor A. Patel,29.49352162,37611.8378,0
Lillith H. Larsen,41.70102524,80543.10557,1
Tobias L. Sullivan,33.52781377,61630.42716,1
Quincy Q. Ayers,28.08281725,53879.86493,0
Ulysses X. Burch,44.63675828,31282.86291,1
Jorden I. Whitley,39.25055957,42504.88069,1
Heather G. Goodwin,53.04942593,73043.34184,1
Yardley W. Jacobson,40.26209841,60281.70658,1
Gray F. Walker,24.43384042,20934.75112,0
Piper S. Houston,15.649629,48755.89079,0
Chester X. Carrillo,29.30805493,38241.22288,0
Nathaniel P. Stephens,44.6762203,57217.99963,1
Jennifer C. Williamson,36.14658099,70163.22831,1
Rae C. Hodge,44.13742151,59156.44815,1
Urielle M. Contreras,31.02688687,35341.27149,0
Mechelle W. Stanton,47.94324542,60416.7033,1
Leila F. Hubbard,44.25040892,79679.1384,1
Tanisha H. Foster,29.46393413,50882.94011,0
Hammett F. Marsh,30.68836313,81129.61196,1
Calvin A. Lancaster,41.10234404,82404.98239,1
Rachel H. Ballard,18.28599306,33736.54949,0
Solomon P. Randolph,42.48956811,68054.34701,1
Kasimir Q. Cherry,18.18128689,76635.48563,0
Dominic I. Faulkner,50.87587787,53562.2263,1
Pascale I. Key,20.49312232,45728.95178,0
Nola L. Sweeney,28.88082438,37592.77506,0
Clementine X. Powell,42.0668915,83277.5478,1
Quinlan U. Sears,26.43984692,42016.00282,0
Odette Q. Sherman,28.25136746,57275.72939,1
Kirestin F. Yang,50.04465417,69461.32716,1
Colleen S. Mcguire,22.62763449,25031.14849,0
Dennis N. Thompson,46.29400299,51531.08125,1
Lester J. Burch,33.05309718,74329.31762,1
Madeson R. Salinas,48.79441333,55633.03835,1
Abigail X. Lindsey,30.38853454,33487.85395,0
Rachel E. Suarez,27.70683798,48659.56717,0
Derek X. Richards,40.31449815,31624.0643,0
Evangeline G. Cooper,23.05456858,37980.92649,0
Kieran G. Justice,45.49470455,67660.87998,1
Zenia H. Patel,38.42240366,60894.22068,0
Michelle R. Burke,36.81948765,75099.42153,1
Florence U. Hunter,31.36001768,54655.58049,0
Jelani A. Wall,11.93126715,54093.63933,0
"England, Abel D.",36.50108189,48317.12764,0
"Oconnor, Linus Q.",19.29288071,50991.42987,0
"Herman, Griffith P.",32.23653993,30772.33057,0
"Knapp, Quamar P.",53.66421559,53210.35911,1
"Chambers, Avram C.",15.55711844,55052.91079,0
"Cervantes, Rylee Q.",33.89191769,58187.77704,0
"Ashley, Macon Z.",44.0125057,62854.41847,1
"Jimenez, Joel G.",13.21920633,41686.82201,0
"Bond, Caryn Y.",22.46223807,7050.784969,0
"Gross, Cedric D.",43.88044794,77371.64859,1
"Dyer, Aline L.",29.98847785,77059.75411,1
"Rivers, Sonya A.",27.02256588,49795.25659,0
"Frazier, Kai O.",30.85174103,30562.37087,0
"Bond, Nyssa S.",30.96886719,29724.82057,0
"Rush, Jarrod T.",38.62045462,48343.44301,1
"Stephens, Tanner E.",42.01032189,62045.41804,1
"Cameron, Kimberley P.",24.63376195,27792.45841,0
"Mcdowell, Victoria J.",13.98085251,45622.74039,0
"Dalton, Grant D.",46.40316681,56088.84115,1
"Gregory, Reuben Z.",28.75506712,69130.79136,1
"Schultz, Lee I.",18.92994351,64980.5059,0
"Wise, Mechelle E.",35.35770925,25150.48646,0
"Mcclure, Avye L.",54.00296923,44373.39815,1
"Livingston, Blaze Y.",43.17270876,41033.05234,1
"Fuentes, Dora E.",33.99761705,38273.28275,0
"Thompson, Alvin R.",39.17395344,77900.1814,1
"Armstrong, Hedda N.",36.60819608,65044.06193,1
"Casey, Sylvia E.",42.90334313,78401.67203,1
"Shaw, Rooney Q.",37.56686426,40383.55568,0
"Sexton, Shaeleigh H.",7.521479578,22839.25377,0
"Langley, Skyler J.",32.45517602,31531.12364,0
"Caldwell, Yolanda F.",43.75097505,50777.99687,1
"Olson, Riley O.",44.5507249,58598.26795,1
"Irwin, Dillon J.",29.18929235,52677.4063,0
"Terry, Mollie K.",34.90456885,55864.96434,0
"Hudson, Maxwell F.",37.21336232,55837.21539,1
"Levy, Irma P.",34.624829,61696.33363,1
"Brady, Oscar Y.",32.02486996,50527.98716,0
"Dudley, Ryder M.",37.27845311,50158.74558,0
"Morales, Halla M.",48.34993054,55006.64006,1
"Holloway, Brennan Q.",40.28595513,20259.5157,0
"Powers, Naomi B.",31.00919441,51162.99182,0
"Armstrong, Naomi D.",39.85143036,94950.42118,1
"Flores, Caldwell U.",33.19606651,89051.9931,1
"Russo, Fleur N.",45.66350188,77879.46698,1
"Reese, Sylvia H.",40.62656202,59477.38227,1
"Burke, Simon H.",46.72920854,69916.66871,1
"Mayer, Paki D.",29.0471256,39105.72079,1
"Bush, Jessica C.",37.64227835,46736.46328,1
"West, April J.",33.52289881,50702.52326,0
"Levy, Wesley S.",24.65874501,36536.82701,0
"Nieves, Bertha O.",28.37189839,25933.2721,0
"Patrick, Merritt L.",30.39110162,59519.43092,1
"Mcdaniel, Marcia Z.",37.53221982,53040.61263,1
"Ortiz, Drew P.",24.1169889,47698.82505,0
"Oneill, Tiger A.",29.75877737,30445.16024,0
"Sims, Tashya J.",33.7387837,70033.40869,1
"Lawrence, Hope Z.",39.60558697,61820.9676,1
"Jenkins, Hasad P.",37.71334996,55642.79842,1
"Rodriguez, Basia D.",31.43762441,75520.26306,0
"Blair, Abra U.",40.76043056,60965.43123,1
"Rosario, Elijah N.",45.91087487,73373.88333,1
"Beach, Victor S.",11.45136643,35043.62785,0
"Ruiz, Rafael L.",36.87391206,87907.98845,1
"Macdonald, Rahim B.",40.12939589,75594.05687,1
"Valdez, Joy U.",20.33250902,38057.40686,0
"Watson, Moana M.",21.30437048,67168.18267,0
"Cote, Evangeline F.",17.09696695,59228.85743,0
"Delgado, Jasper U.",44.66143743,75426.28108,1
"Hardy, Hilary R.",25.36440893,56313.8498,0
"Stafford, Berk Y.",23.18118891,42332.55293,0
"Daugherty, Veda M.",26.91349534,61418.44776,0
"Harmon, David N.",34.24962705,40972.9123,0
"Houston, Grant O.",27.57637846,65851.62993,0
"Collier, Xerxes Q.",33.83980411,19031.97337,0
"Lewis, Jackson U.",32.97825505,80711.85393,1
"Smith, Nola H.",31.58481471,29424.29185,0
"Jensen, Ebony Y.",33.14470329,82693.81352,1
"Kim, Claudia W.",18.76607147,39413.96102,0
"Livingston, Lucas K.",38.79643427,73002.16591,1
"Bradford, Daquan F.",35.83440101,55333.72664,1
"Park, Quincy A.",42.64483954,69262.6286,1
"Dillon, Lynn W.",34.09821207,74668.66232,1
"Blackburn, Joel Y.",26.34016966,37225.21844,0
"Sanders, Selma F.",43.14099792,63831.93519,1
"Solis, Melissa T.",29.48842788,25982.67553,0
"Holmes, Ross Y.",20.92704222,48451.7856,0
"Sutton, Michelle D.",26.61900178,76505.55871,1
"Munoz, Kennedy K.",51.51373412,72735.56023,1
"Little, Hayley R.",39.36122677,80909.18343,1
"Church, Lareina E.",27.67047952,3993.153747,0
"Wolf, Tashya X.",30.19356195,43821.76063,0
"Barr, Hyatt D.",41.60560417,80805.68501,1
"Hopper, Orson W.",16.29734205,32920.52221,0
"Decker, Jolie T.",26.29833023,65398.52328,1
"Chaney, Reuben I.",36.49810201,94315.45705,1
"Ross, Kermit D.",43.32183993,59946.71382,1
"Hampton, Venus Q.",34.96225782,60074.23744,1
"Chavez, Ralph U.",24.09295207,18907.67275,0
"Whitaker, Adena B.",35.09745796,69637.1438,1
Nola,39.46152608,33843.65733,0
Melodie,40.14642195,74444.75049,1
Seth,28.14906144,62880.73548,0
Kyra,30.14597023,20207.60224,0
Caldwell,27.729903,47093.54153,0
Benjamin,23.97301292,25710.85639,0
Florence,30.9168263,19123.46645,0
Oleg,25.55175563,21076.6039,0
Donovan,38.24601461,95100.12241,1
Blaze,37.30361744,62052.98005,1
Illana,25.7092621,55564.87609,0
Yvette,38.61871867,58365.20993,1
Walter,20.99302096,36171.35476,0
Dexter,25.20740109,77888.10467,1
Cameran,29.72182064,77240.46172,1
Penelope,35.93273724,31644.00077,0
Hyatt,49.55621717,66154.72594,1
Stone,35.76666566,85662.40666,1
Irma,27.90834531,39615.39152,0
Josiah,44.88825392,54682.88337,1
Nathan,36.05706317,50105.87508,1
Stacy,34.48563345,22604.41437,0
Kane,37.52890362,62850.32493,1
Reed,23.09003029,40648.69387,0
Lani,30.17279255,18776.95702,0
Curran,43.18668883,90494.10636,1
Rhonda,46.45307621,70486.66355,1
Leroy,35.3132725,54846.03473,1
Adrienne,30.22307944,33466.30451,0
Aileen,44.54663012,65083.77358,1
Rafael,25.25417658,44756.53074,0
Olivia,31.18195695,60772.42476,0
Hiram,42.25334417,66564.03572,1
Jelani,30.29053728,65131.99741,0
Madeson,29.75176871,53557.34934,0
Uriah,35.65282431,76490.7446,1
Brady,13.19405478,24231.08764,0
Denise,25.39128301,47645.93318,0
Lyle,38.68266947,43236.50484,0
Victor,38.61419821,67135.16871,1
Demetria,34.74971308,49052.90389,1
Ora,29.40131806,50778.33901,0
Trevor,29.45457773,14007.79797,0
Kristen,33.23174574,33779.10616,0
Aristotle,7.764372756,34221.11509,0
Camden,21.37382972,38861.60002,1
Urielle,24.70961882,69670.8045,1
Jolene,32.95026007,43135.13923,0
Holly,28.92180065,27512.08959,0
Wayne,31.81315302,35699.68907,0
Judith,27.33955071,41556.96233,0
Dennis,36.99922381,44968.82166,0
Kaitlin,33.80063857,45502.977,0
Harriet,35.30652127,12318.96493,0
Tatyana,29.15665408,39394.28363,0
Paula,37.58581197,23774.11863,0
Tamekah,37.08510495,91568.97221,1
Brandon,15.04834636,97646.22035,0
Veda,25.36680843,37192.01715,0
Seth,36.3245104,76548.15257,1
Kai,36.91958559,61668.55977,1
Piper,27.45548652,40106.60547,0
Hillary,37.74954941,73687.47697,1
Francis,22.90453299,34498.65896,0
Rogan,37.17328096,63100.67245,1
Kyle,49.96873255,71843.97055,1
Vaughan,44.50020647,52140.28407,1
India,38.00507269,63004.54187,1
Edward,26.54174275,50967.98785,0
Laurel,41.69752746,54520.98718,1
Igor,30.43403507,40446.84799,0
Diana,28.27433859,82395.63688,1
Todd,40.7362791,35323.20101,1
Zephania,23.55667566,43072.56754,0
Brock,37.84307263,57841.3598,0
Avye,44.89346691,71840.40455,1
Serena,23.27728171,40765.04379,0
Barclay,37.01489532,73057.24451,1
Isabella,25.08761701,61653.38311,0
Mia,20.70610068,7147.723544,0
Chester,42.19027936,48020.56799,1
Isaac,42.88529723,58162.28499,1
Heather,22.4394882,35917.84819,0
Justine,37.67405831,62034.48602,1
Bert,20.42089217,40114.15621,0
Gil,36.90237773,32583.02418,0
Dolan,33.34903685,52020.91646,1
Cheryl,41.54430438,55792.69851,1
Courtney,43.28158641,54123.6465,1
Neville,24.33105444,59873.517,0
Gloria,23.86537076,23439.86782,0
Jonah,34.8283033,50151.32622,1
Merrill,37.17321553,63750.41558,1
Nolan,5,47329.56584,0
Winter,24.61522753,34721.74862,0
Rigel,19.22274647,44969.13495,0
Walter,22.66566158,41686.20425,0
Vanna,35.32023874,23989.80864,0
Pearl,26.53917023,31708.57054,0
Nell,32.38614783,74331.35442,1
